segment,E,N,U
map,-151.5495815873146,95.10338975815102,-2.8626984357833862
map,-151.17363554239273,95.52512742904946,-2.859925627708435
map,-150.7982388138771,95.94858171371743,-2.8594220876693726
map,-150.42349821329117,96.37308122543618,-2.856134295463562
map,-150.04675871133804,96.7952537718229,-2.850415587425232
map,-149.66873747110367,97.21713640121743,-2.847528338432312
map,-149.29138761758804,97.64025499252602,-2.845915675163269
map,-148.91472440958023,98.06441118149087,-2.8433717489242554
map,-148.5385189652443,98.4893684568815,-2.8384989500045776
map,-148.16246610879898,98.91477586654946,-2.831973910331726
map,-147.78670316934586,99.34082414535806,-2.8266862630844116
map,-147.40918546915054,99.76554490951821,-2.82025945186615
map,-147.03258329629898,100.19156267074868,-2.8167375326156616
map,-146.6576595902443,100.62027360824868,-2.812552332878113
map,-146.28220182657242,101.05056383041665,-2.8079699277877808
map,-145.90683561563492,101.48128129867837,-2.801677107810974
map,-145.53209501504898,101.91313554672524,-2.7948449850082397
map,-145.15678983926773,102.34543229965493,-2.7898401021957397
map,-144.7820034623146,102.77846147445962,-2.784633994102478
map,-144.40898710489273,103.21274186996743,-2.782617449760437
map,-144.0363216996193,103.6476707640104,-2.7796634435653687
map,-143.6638393998146,104.0830726805143,-2.7766441106796265
map,-143.2925015091896,104.51951219467446,-2.7755550146102905
map,-142.9220181107521,104.95685960678384,-2.772337794303894
map,-142.54794889688492,105.3920555296354,-2.7672289609909058
map,-142.17430692911148,105.8272361936979,-2.7656577825546265
map,-141.8036556839943,106.2647590818815,-2.7637804746627808
map,-141.4332485795021,106.70206834701821,-2.761614680290222
map,-141.06311613321304,107.139148730319,-2.7590168714523315
map,-140.69524198770523,107.57704545883462,-2.7521876096725464
map,-140.3276577591896,108.01526262192056,-2.7450417280197144
map,-139.95828825235367,108.45230485824868,-2.739095091819763
map,-139.59094816446304,108.8906898680143,-2.733780264854431
map,-139.22612577676773,109.33134843735024,-2.7278770208358765
map,-138.85930448770523,109.77257921127602,-2.7205814123153687
map,-138.49051481485367,110.212390917819,-2.7205322980880737
map,-138.12134367227554,110.6523094358854,-2.7205437421798706
map,-137.75298124551773,111.09282304672524,-2.7166651487350464
map,-137.38419157266617,111.5332679930143,-2.7116230726242065
map,-137.01624113321304,111.974353808444,-2.706722617149353
map,-136.64688688516617,112.41424180893227,-2.7013062238693237
map,-136.27695280313492,112.85390855697915,-2.6994675397872925
map,-135.9077358841896,113.29465867904946,-2.697668433189392
map,-135.53848844766617,113.73606492904946,-2.6960710287094116
map,-135.1662045121193,114.17759324936196,-2.690757632255554
map,-134.79385954141617,114.61941148666665,-2.683833956718445
map,-134.42102628946304,115.06107713608071,-2.6815799474716187
map,-134.04710966348648,115.50160600570962,-2.679007887840271
map,-133.67101103067398,115.93967058090493,-2.6739362478256226
map,-133.2946987748146,116.37712480453774,-2.671099066734314
map,-132.91800504922867,116.8130760374479,-2.669930338859558
map,-132.53728300333023,117.24380113510415,-2.6674259901046753
map,-132.15462309122086,117.670887011569,-2.6618236303329468
map,-131.7683773636818,118.09501268295571,-2.6566723585128784
map,-131.37218290567398,118.51452257065102,-2.653457999229431
map,-130.9718685746193,118.92831804184243,-2.649898409843445
map,-130.5684261918068,119.3367347898893,-2.6454662084579468
map,-130.16138273477554,119.7393684568815,-2.641142249107361
map,-129.7497768998146,120.134510058444,-2.6374305486679077
map,-129.3369351029396,120.52438737777993,-2.6313055753707886
map,-128.92137724161148,120.90749742416665,-2.6223162412643433
map,-128.50093656778336,121.2804832640104,-2.612900137901306
map,-128.07738310098648,121.64182664779946,-2.6031116247177124
